 ; ; ;2018;2019;2020;2021;2022
55-64 years;Women;Sculptures;19;22;16;20;21
55-64 years;Women;Craft work;21;23;18;21;20
55-64 years;Women;Design;14;18;17;16;16
55-64 years;Women;Photography;14;17;15;16;15
55-64 years;Women;Installation art;4;5;4;5;6
55-64 years;Women;Video art;2;2;3;2;3
55-64 years;Women;Performance;1;1;2;2;2
55-64 years;Women;Other types;3;2;3;4;4
55-64 years;Women;I have not consumed graphic art within the last three months;50;51;59;54;52
65-74 years;Women;;;;;;
65-74 years;Men;;;;;;
65-74 years;Men;Paintings;33;34;28;32;32
65-74 years;Men;Sculptures;15;15;13;14;17
65-74 years;Men;Craft work;12;13;10;12;9
65-74 years;Men;Design;8;9;11;12;10
65-74 years;Men;Photography;10;12;12;14;14
65-74 years;Men;Installation art;3;3;2;4;4
65-74 years;Men;Video art;1;1;1;3;2
65-74 years;Men;Performance;1;1;1;2;2
65-74 years;Men;Other types;3;4;3;3;2
65-74 years;Men;I have not consumed graphic art within the last three months;59;60;67;61;62
65-74 years;Women;;;;;;
65-74 years;Women;Paintings;43;41;33;40;42
65-74 years;Women;Sculptures;22;20;15;20;21
65-74 years;Women;Craft work;21;23;19;22;26
65-74 years;Women;Design;13;18;15;18;19
65-74 years;Women;Photography;9;13;11;13;14
65-74 years;Women;Installation art;4;3;3;4;4
65-74 years;Women;Video art;1;2;1;2;3
65-74 years;Women;Performance;1;1;1;1;1
65-74 years;Women;Other types;3;4;3;4;4
65-74 years;Women;I have not consumed graphic art within the last three months;49;50;59;48;48
75 years and over;Women;;;;;;
75 years and over;Men;;;;;;
75 years and over;Men;Paintings;32;31;28;31;34
75 years and over;Men;Sculptures;13;16;14;13;14
75 years and over;Men;Craft work;9;12;11;10;14
75 years and over;Men;Design;6;9;10;10;12
75 years and over;Men;Photography;8;10;11;11;12
75 years and over;Men;Installation art;1;3;2;2;2
75 years and over;Men;Video art;2;2;2;2;1
75 years and over;Men;Performance;1;1;1;1;0
75 years and over;Men;Other types;4;3;5;3;4
75 years and over;Men;I have not consumed graphic art within the last three months;61;60;63;59;58
75 years and over;Women;;;;;;
75 years and over;Women;Paintings;38;34;26;36;40
75 years and over;Women;Sculptures;15;16;12;17;20
75 years and over;Women;Craft work;16;16;15;19;19
75 years and over;Women;Design;9;11;12;13;16
75 years and over;Women;Photography;6;8;8;9;10
75 years and over;Women;Installation art;2;3;2;1;3
75 years and over;Women;Video art;1;1;1;0;2
75 years and over;Women;Performance;0;2;1;0;2
75 years and over;Women;Other types;3;4;2;3;3
75 years and over;Women;I have not consumed graphic art within the last three months;55;59;66;57;51
;;;;;;;
Question to respondents: Which type of museum have you visited withtin the past three months;;;;;;;
